Universe,Model Arm,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future 1-Yr Return (%),Future Sharpe,Future Max DD (%)
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),909,10.243060424328366,1.0772990549035453,-10.028958342505845,7.059400313410147,0.969735315641869,-6.951526900556793
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),909,9.048943397974906,1.027427525649292,-9.429742051270445,6.294469428039728,0.9326289516154432,-6.458462303372227
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),909,11.5219490576264,1.0983341686993964,-10.922282654839503,6.620214335685803,0.8467376011382813,-7.499705664642582
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),42,4.026746015032678,0.8018197011264084,-3.9244446422667987,10.470041969419208,1.4616047969879642,-5.678182640646675
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),42,6.848561216278326,0.8752496413178747,-5.111571529303488,12.797180376587015,1.2471542779162845,-9.383433029885072
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),42,2.495538645644091,0.7558284901777916,-2.541356563612316,6.646990968171296,1.4213483935176228,-3.920967542715026
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),101,4.003778710452233,0.8001435633851726,-3.9165097040260797,10.440782522300008,1.4588068059615413,-5.673346225900758
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),101,3.8985599188456233,0.7762212919498693,-4.0710851222134465,10.371733420252195,1.5110280659814483,-5.3966942371055895
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),101,4.314891303494717,0.754621999652765,-4.793660325634179,13.219319952650288,1.568210293786314,-6.413359018179525
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),202,4.022061176662417,0.8012966889384924,-3.9214500658829103,10.468836376194046,1.4615756811299008,-5.678655645975431
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),202,3.2917450079440913,0.8032395539672789,-3.5180090319307746,9.825460991397804,1.598660605635215,-4.703278872244574
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),202,2.9858592892584745,0.8314089972317126,-2.8050661721196932,7.092180266439896,1.486503241830253,-3.8660381901840326
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),303,4.025820098028565,0.8014513917574682,-3.9256355099194193,10.45400299775283,1.4579403434728186,-5.692968838749413
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),303,3.9383582555549523,0.6543639632354564,-4.708601080251744,12.578438457129293,1.4622695994416899,-6.653733127179241
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),303,3.7021686911075546,0.7024962523678628,-4.269402923700426,10.895646187082985,1.5613558444926354,-5.161615060771969
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),404,4.025806466458448,0.802642095535206,-3.923338861907496,10.4559566369951,1.462132508081088,-5.667658712033974
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),404,3.7020591360631405,0.9626715324740094,-3.053342860920107,8.043931029625305,1.1723525980228455,-6.857125995044376
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),404,4.341922823474409,0.8737187640728534,-3.3279561557450004,8.927168460349378,1.1904203632226316,-7.725466061748845
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),505,4.018826803707176,0.7995557983091657,-3.929984023163614,10.464916430647442,1.4572561822406649,-5.702348506466447
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),505,3.6768833941359214,0.8341554569485917,-3.357872331431859,9.044619718839586,1.5931931228891736,-4.2724378930230955
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),505,4.028244856067187,0.73718073872617,-4.150862305958786,10.71101993581105,1.4015172053386684,-6.115654816030417
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),606,4.024695177835791,0.8017386999507379,-3.9224714709613515,10.442640890230104,1.4590497977512351,-5.682740133358628
