Seed,Day,P_up,Signal,Weight_per_asset,Total_equity_exposure
101,64,0.5580799579620361,1,0.08,0.7999999999999999
101,65,0.5570880174636841,1,0.08,0.7999999999999999
101,66,0.5551084280014038,1,0.08,0.7999999999999999
101,67,0.5538151860237122,1,0.08,0.7999999999999999
101,68,0.5515995621681213,1,0.08,0.7999999999999999
101,69,0.5551853775978088,1,0.08,0.7999999999999999
101,70,0.552632749080658,1,0.08,0.7999999999999999
101,71,0.5528749227523804,1,0.08,0.7999999999999999
101,72,0.5556752681732178,1,0.08,0.7999999999999999
101,73,0.552497923374176,1,0.08,0.7999999999999999
101,74,0.5535786747932434,1,0.08,0.7999999999999999
101,75,0.5561392307281494,1,0.08,0.7999999999999999
101,76,0.5550988912582397,1,0.08,0.7999999999999999
101,77,0.5564061403274536,1,0.08,0.7999999999999999
101,78,0.5531215071678162,1,0.08,0.7999999999999999
101,79,0.553730845451355,1,0.08,0.7999999999999999
101,80,0.5525486469268799,1,0.08,0.7999999999999999
101,81,0.5515901446342468,1,0.08,0.7999999999999999
101,82,0.5535282492637634,1,0.08,0.7999999999999999
101,83,0.5528921484947205,1,0.08,0.7999999999999999
101,84,0.5534037947654724,1,0.08,0.7999999999999999
101,85,0.5575748085975647,1,0.08,0.7999999999999999
101,86,0.5555567145347595,1,0.08,0.7999999999999999
101,87,0.5511941313743591,1,0.08,0.7999999999999999
101,88,0.5516163110733032,1,0.08,0.7999999999999999
101,89,0.5547045469284058,1,0.08,0.7999999999999999
101,90,0.5545183420181274,1,0.08,0.7999999999999999
101,91,0.5523855686187744,1,0.08,0.7999999999999999
101,92,0.5537613034248352,1,0.08,0.7999999999999999
101,93,0.5568251609802246,1,0.08,0.7999999999999999
101,94,0.5533963441848755,1,0.08,0.7999999999999999
101,95,0.5541925430297852,1,0.08,0.7999999999999999
101,96,0.5526394844055176,1,0.08,0.7999999999999999
101,97,0.5559981465339661,1,0.08,0.7999999999999999
101,98,0.5554815530776978,1,0.08,0.7999999999999999
101,99,0.5522021055221558,1,0.08,0.7999999999999999
101,100,0.5547770261764526,1,0.08,0.7999999999999999
101,101,0.5550466179847717,1,0.08,0.7999999999999999
101,102,0.5534289479255676,1,0.08,0.7999999999999999
101,103,0.5529623627662659,1,0.08,0.7999999999999999
101,104,0.5539981126785278,1,0.08,0.7999999999999999
101,105,0.5535512566566467,1,0.08,0.7999999999999999
101,106,0.5550596117973328,1,0.08,0.7999999999999999
101,107,0.5562729835510254,1,0.08,0.7999999999999999
101,108,0.5569961071014404,1,0.08,0.7999999999999999
101,109,0.556656002998352,1,0.08,0.7999999999999999
101,110,0.5541805028915405,1,0.08,0.7999999999999999
101,111,0.5556409358978271,1,0.08,0.7999999999999999
101,112,0.5547945499420166,1,0.08,0.7999999999999999
101,113,0.5549356341362,1,0.08,0.7999999999999999
101,114,0.5537170171737671,1,0.08,0.7999999999999999
101,115,0.5526084899902344,1,0.08,0.7999999999999999
101,116,0.5523753762245178,1,0.08,0.7999999999999999
101,117,0.5534875392913818,1,0.08,0.7999999999999999
101,118,0.5574466586112976,1,0.08,0.7999999999999999
101,119,0.5552121996879578,1,0.08,0.7999999999999999
101,120,0.5584372282028198,1,0.08,0.7999999999999999
101,121,0.5596543550491333,1,0.08,0.7999999999999999
101,122,0.5573410987854004,1,0.08,0.7999999999999999
101,123,0.5539265871047974,1,0.08,0.7999999999999999
101,124,0.5577124953269958,1,0.08,0.7999999999999999
101,125,0.5531385540962219,1,0.08,0.7999999999999999
101,126,0.5576721429824829,1,0.08,0.7999999999999999
101,127,0.5533679127693176,1,0.08,0.7999999999999999
101,128,0.5513573884963989,1,0.08,0.7999999999999999
101,129,0.5562836527824402,1,0.08,0.7999999999999999
101,130,0.5546429753303528,1,0.08,0.7999999999999999
101,131,0.5534994006156921,1,0.08,0.7999999999999999
101,132,0.5515530109405518,1,0.08,0.7999999999999999
101,133,0.5531730055809021,1,0.08,0.7999999999999999
101,134,0.5520682334899902,1,0.08,0.7999999999999999
101,135,0.5523677468299866,1,0.08,0.7999999999999999
101,136,0.552167534828186,1,0.08,0.7999999999999999
101,137,0.5525252223014832,1,0.08,0.7999999999999999
101,138,0.5549136400222778,1,0.08,0.7999999999999999
101,139,0.5559097528457642,1,0.08,0.7999999999999999
101,140,0.5543184280395508,1,0.08,0.7999999999999999
101,141,0.5534796118736267,1,0.08,0.7999999999999999
101,142,0.5535035729408264,1,0.08,0.7999999999999999
101,143,0.554477334022522,1,0.08,0.7999999999999999
101,144,0.5528616905212402,1,0.08,0.7999999999999999
101,145,0.5538994669914246,1,0.08,0.7999999999999999
101,146,0.5529906153678894,1,0.08,0.7999999999999999
101,147,0.5543127655982971,1,0.08,0.7999999999999999
101,148,0.555051326751709,1,0.08,0.7999999999999999
101,149,0.5566222667694092,1,0.08,0.7999999999999999
101,150,0.5548276901245117,1,0.08,0.7999999999999999
101,151,0.5549286007881165,1,0.08,0.7999999999999999
101,152,0.5585384964942932,1,0.08,0.7999999999999999
101,153,0.5564842224121094,1,0.08,0.7999999999999999
101,154,0.5518662929534912,1,0.08,0.7999999999999999
101,155,0.5525383949279785,1,0.08,0.7999999999999999
101,156,0.5530866980552673,1,0.08,0.7999999999999999
101,157,0.5586233139038086,1,0.08,0.7999999999999999
101,158,0.5580593347549438,1,0.08,0.7999999999999999
101,159,0.5552617311477661,1,0.08,0.7999999999999999
101,160,0.5508324503898621,1,0.08,0.7999999999999999
101,161,0.5521343946456909,1,0.08,0.7999999999999999
101,162,0.5537930130958557,1,0.08,0.7999999999999999
101,163,0.554007887840271,1,0.08,0.7999999999999999
101,164,0.5557082295417786,1,0.08,0.7999999999999999
101,165,0.5556143522262573,1,0.08,0.7999999999999999
101,166,0.55293208360672,1,0.08,0.7999999999999999
101,167,0.5551707744598389,1,0.08,0.7999999999999999
101,168,0.5518624782562256,1,0.08,0.7999999999999999
101,169,0.5527027249336243,1,0.08,0.7999999999999999
101,170,0.5538791418075562,1,0.08,0.7999999999999999
101,171,0.5532183647155762,1,0.08,0.7999999999999999
101,172,0.5553489923477173,1,0.08,0.7999999999999999
101,173,0.5553481578826904,1,0.08,0.7999999999999999
101,174,0.5544136762619019,1,0.08,0.7999999999999999
101,175,0.5523675680160522,1,0.08,0.7999999999999999
101,176,0.5558000802993774,1,0.08,0.7999999999999999
101,177,0.5568962097167969,1,0.08,0.7999999999999999
101,178,0.5533519387245178,1,0.08,0.7999999999999999
101,179,0.5502687096595764,1,0.08,0.7999999999999999
101,180,0.5536085367202759,1,0.08,0.7999999999999999
101,181,0.5534566640853882,1,0.08,0.7999999999999999
101,182,0.5529479384422302,1,0.08,0.7999999999999999
101,183,0.5547480583190918,1,0.08,0.7999999999999999
101,184,0.5546578764915466,1,0.08,0.7999999999999999
101,185,0.5550553202629089,1,0.08,0.7999999999999999
101,186,0.5521395206451416,1,0.08,0.7999999999999999
101,187,0.5538526773452759,1,0.08,0.7999999999999999
101,188,0.5526742935180664,1,0.08,0.7999999999999999
101,189,0.5537832975387573,1,0.08,0.7999999999999999
101,190,0.5558428764343262,1,0.08,0.7999999999999999
101,191,0.5554400682449341,1,0.08,0.7999999999999999
101,192,0.5554149150848389,1,0.08,0.7999999999999999
101,193,0.5569199323654175,1,0.08,0.7999999999999999
101,194,0.5550179481506348,1,0.08,0.7999999999999999
101,195,0.5535068511962891,1,0.08,0.7999999999999999
101,196,0.5538497567176819,1,0.08,0.7999999999999999
101,197,0.5528467297554016,1,0.08,0.7999999999999999
101,198,0.5529650449752808,1,0.08,0.7999999999999999
101,199,0.5530259013175964,1,0.08,0.7999999999999999
101,200,0.5531877279281616,1,0.08,0.7999999999999999
101,201,0.5549343824386597,1,0.08,0.7999999999999999
101,202,0.5533077716827393,1,0.08,0.7999999999999999
101,203,0.5537227988243103,1,0.08,0.7999999999999999
101,204,0.5526252388954163,1,0.08,0.7999999999999999
101,205,0.5525900721549988,1,0.08,0.7999999999999999
101,206,0.5524754524230957,1,0.08,0.7999999999999999
101,207,0.5546547770500183,1,0.08,0.7999999999999999
101,208,0.5545026659965515,1,0.08,0.7999999999999999
101,209,0.554015576839447,1,0.08,0.7999999999999999
101,210,0.5546851754188538,1,0.08,0.7999999999999999
101,211,0.5550585985183716,1,0.08,0.7999999999999999
101,212,0.5542211532592773,1,0.08,0.7999999999999999
101,213,0.5524808764457703,1,0.08,0.7999999999999999
101,214,0.5531618595123291,1,0.08,0.7999999999999999
101,215,0.5539170503616333,1,0.08,0.7999999999999999
101,216,0.5542013645172119,1,0.08,0.7999999999999999
101,217,0.5524582862854004,1,0.08,0.7999999999999999
101,218,0.5530576705932617,1,0.08,0.7999999999999999
101,219,0.5538264513015747,1,0.08,0.7999999999999999
101,220,0.5564454197883606,1,0.08,0.7999999999999999
101,221,0.5534796714782715,1,0.08,0.7999999999999999
101,222,0.5552105903625488,1,0.08,0.7999999999999999
101,223,0.5533209443092346,1,0.08,0.7999999999999999
101,224,0.5554516315460205,1,0.08,0.7999999999999999
101,225,0.5551213026046753,1,0.08,0.7999999999999999
101,226,0.5542904734611511,1,0.08,0.7999999999999999
101,227,0.5548610687255859,1,0.08,0.7999999999999999
101,228,0.5544189810752869,1,0.08,0.7999999999999999
101,229,0.5561886429786682,1,0.08,0.7999999999999999
101,230,0.5563323497772217,1,0.08,0.7999999999999999
101,231,0.5553796887397766,1,0.08,0.7999999999999999
101,232,0.5546205639839172,1,0.08,0.7999999999999999
101,233,0.5534893274307251,1,0.08,0.7999999999999999
101,234,0.5547206997871399,1,0.08,0.7999999999999999
101,235,0.5542746186256409,1,0.08,0.7999999999999999
101,236,0.5556688904762268,1,0.08,0.7999999999999999
101,237,0.5539438128471375,1,0.08,0.7999999999999999
101,238,0.5533432960510254,1,0.08,0.7999999999999999
101,239,0.5523949861526489,1,0.08,0.7999999999999999
101,240,0.5533943772315979,1,0.08,0.7999999999999999
101,241,0.5543504953384399,1,0.08,0.7999999999999999
101,242,0.5522453784942627,1,0.08,0.7999999999999999
101,243,0.5535553693771362,1,0.08,0.7999999999999999
101,244,0.5544968247413635,1,0.08,0.7999999999999999
101,245,0.5554170608520508,1,0.08,0.7999999999999999
101,246,0.554741382598877,1,0.08,0.7999999999999999
101,247,0.5532197952270508,1,0.08,0.7999999999999999
101,248,0.5543540120124817,1,0.08,0.7999999999999999
101,249,0.5546081066131592,1,0.08,0.7999999999999999
101,250,0.5521857142448425,1,0.08,0.7999999999999999
101,251,0.554718017578125,1,0.08,0.7999999999999999
101,252,0.5549954175949097,1,0.08,0.7999999999999999
101,253,0.554713785648346,1,0.08,0.7999999999999999
101,254,0.5561190843582153,1,0.08,0.7999999999999999
101,255,0.5563048124313354,1,0.08,0.7999999999999999
101,256,0.5551078915596008,1,0.08,0.7999999999999999
101,257,0.5532569289207458,1,0.08,0.7999999999999999
101,258,0.5555515885353088,1,0.08,0.7999999999999999
101,259,0.5533774495124817,1,0.08,0.7999999999999999
101,260,0.5537778735160828,1,0.08,0.7999999999999999
101,261,0.5544382929801941,1,0.08,0.7999999999999999
