n_axiom,n_base,mean_axiom,mean_base,sd_axiom,sd_base,diff,cohens_d,base_zero_variance,welch_t,welch_p,mwu_u,mwu_p,Universe,Window,Comparison,n_universes_welch_p_lt_05,sign_test_p,paired_ci95_lo,paired_ci95_hi,cluster_ols_beta,cluster_robust_se,naive_ols_se,cluster_ols_p_tG1,n_universes_axiom_ahead,base_is_deterministic_constant,test,unbalanced_no_seed_comparator
10,1,1.1450916028700031,0.7245931897305297,0.17025445328238198,,0.42049841313947345,2.469823285280178,False,7.810266999605184,2.6799903527156246e-05,0.0,0.001953125,Crypto_PIT,OOS,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
60,6,0.9833089146117111,0.9010711305374666,0.6717190452905877,0.11726802997130159,0.08223778407424454,0.12734666602688482,False,0.8302158352104857,0.4105339436215231,224.0,0.3318932709153547,POOLED (60 vs 6),OOS,Axiom vs SPY B&H (fixed reference),5.0,,,,,,,,,,,True
6,6,0.9833089146117112,0.9010711305374666,,,0.08223778407424447,0.133807186743184,False,0.3277593314381025,0.7563726984527506,9.0,0.84375,CLUSTER-CORRECTED (n=6 universes),OOS,Axiom vs SPY B&H (fixed reference),,0.6875,-0.5627444747578191,0.7272200429063079,0.0822377840742447,0.25286168396271796,0.27650598589017367,0.7581764240954473,4.0,True,,
6,6,0.9833089146117112,0.9233717564724852,,,0.0599371581392259,0.1004347071009157,False,0.2460137848631258,0.815451521880365,9.0,0.84375,CLUSTER-CORRECTED (n=6 universes),OOS,Axiom vs SPY B&H (fixed reference) [native NYSE],,0.6875,-0.5663422598132148,0.6862165760916668,0.05993715813922612,0.24552933989441653,0.2763442923468866,0.8168430882272971,4.0,True,,
10,10,1.431598142460271,1.6262509652849109,0.16303000276965646,2.340555645717801e-16,-0.1946528228246398,-1.688527616488814,False,-3.775662532354683,0.004378133628575742,10.0,0.0014209119801024872,US_ETFs,Holdout,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,1.6879620799451172,1.863548198196444,0.21288316768841128,0.0,-0.17558611825132675,-1.1664438879400887,True,-2.608247825373185,0.02835210912269721,20.0,0.017187093921295943,US_MegaCap_PIT,Holdout,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,0.9141531584418543,1.0885267311257392,0.1270423758675867,0.022828985047745148,-0.17437357268388487,-1.9104957331642798,False,-4.271998330078628,0.0017985996389499478,7.0,0.0011107353937069965,Global_Indices,Holdout,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,-0.46240139062060803,-0.4255869459237342,0.4094879909317745,0.0,-0.03681444469687384,-0.12714289096265005,True,-0.28430014704832923,0.7826131048309112,50.0,1.0,India_Nifty_50,Holdout,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,1.3400338779501724,1.4575737255189725,0.3387323316100878,0.0,-0.1175398475688001,-0.4907309726265084,True,-1.0973078134574612,0.30099633660326197,30.0,0.11525821359745406,Forex_Commodities,Holdout,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,-1.1748042812503559,-1.1132049022018573,0.17752377521890708,0.038680392032544,-0.06159937904849855,-0.479471601728221,False,-1.0721310947450078,0.3092192753879506,43.0,0.6230455308379078,Crypto_PIT,Holdout,Axiom vs LSTM (real),,,,,,,,,,,,
60,60,0.6227569311544083,0.7495179620000791,1.1015285395846046,1.125845644597555,-0.1267610308456708,-0.1138142644732987,False,-0.6233864001788453,0.5342343090408146,1560.0,0.20818223522427237,POOLED (60 vs 60),Holdout,Axiom vs LSTM (real),3.0,,,,,,,,,,,
6,6,0.6227569311544084,0.749517962000079,,,-0.12676103084567067,-1.9249751119849754,False,-4.715206791920097,0.0052650899770281005,0.0,0.03125,CLUSTER-CORRECTED (n=6 universes),Holdout,Axiom vs LSTM (real),,0.03125,-0.19586714172012615,-0.057654919971215204,-0.12676103084567053,0.026997123625618548,0.203342631166326,0.005359345854041153,0.0,,,
10,10,1.431598142460271,0.38062114508394135,0.16303000276965646,0.31537500846018496,1.0509769973763297,4.186525155554063,False,9.361354837331765,2.85135307372832e-07,100.0,0.00018267179110955002,US_ETFs,Holdout,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,1.6879620799451172,1.0074506825882703,0.21288316768841128,0.17871586605617074,0.6805113973568468,3.4623978802424356,False,7.7421570253732614,4.7380417578317976e-07,98.0,0.00032983852077799353,US_MegaCap_PIT,Holdout,Axiom vs XGBoost (real),,,,,,,,,,,,
