Universe,Window,Model,Seed,Offset,Sharpe,Return (%),Max DD (%),Rebalances,Mean Cash Frac,Mean Top Weight
US_ETFs,Holdout,RAI v6 Fast,-1,-3.5,1.1259165165824803,45.075878739683105,-25.13506093923883,176,0.020961889067901612,0.8234422438441458
US_ETFs,Holdout,Axiom v0.9,42,-2.5,1.3734666639114823,33.481343714711564,-12.481982703659593,31,0.16862648445142536,0.3465936869314617
US_ETFs,Holdout,Axiom v0.9,101,-2.5,1.711667069538176,44.07909354233024,-11.34476161974632,51,0.2000025894116527,0.27844720101724696
US_ETFs,Holdout,Axiom v0.9,202,-2.5,1.4989205472483516,32.91664632819919,-11.877803752971817,34,0.013492830256686947,0.24259523254681123
US_ETFs,Holdout,Axiom v0.9,303,-2.5,1.2953670757633757,30.740693596022272,-13.568841831964487,19,0.021275367415116358,0.23585835485250423
US_ETFs,Holdout,Axiom v0.9,404,-2.5,1.3856547017689944,37.990453312171994,-11.388882041283752,29,0.06181533524808992,0.3468608763403765
US_ETFs,Holdout,Axiom v0.9,505,-2.5,1.5777678121898013,27.924313074437524,-8.70416611251217,23,0.1122043139633796,0.2706864491864737
US_ETFs,Holdout,Axiom v0.9,606,-2.5,1.2726770193538766,19.836192087999272,-8.175425117347434,29,0.0456780995988211,0.33421890098686263
US_ETFs,Holdout,Axiom v0.9,707,-2.5,1.177561805870638,20.093568486429692,-10.154877611396774,22,0.3471957165872097,0.2183275867424577
US_ETFs,Holdout,Axiom v0.9,808,-2.5,1.4471080321569156,32.14358954205356,-9.086331864731246,39,0.3145685559331404,0.18106512390170873
US_ETFs,Holdout,Axiom v0.9,909,-2.5,1.5757879881209285,36.491301752781304,-12.794780407137512,35,0.14569672058476005,0.21239997929401397
US_ETFs,Holdout,RAI v6 Fast,-1,-2.5,1.1331400076684044,43.684822941374854,-24.285164806424728,183,0.05560253804668771,0.7891645789221006
US_ETFs,Holdout,Axiom v0.9,42,-1.5,1.36338084848923,25.05773526291113,-9.687337570987566,27,0.35559971329610646,0.26746047859594635
